gene_id,s_mtsc_complete_wt_rep2,s_mtsc_ezr_d1_td_single_tdbl_rep2,s_mtsc_klf5_a3_tdbl_first_half_rep2,s_mtsc_krt8_18_f7_tftd_dis_insertion_tf,s_mtsc_krt8_18_h9_tftd_dis_insertion_tf,s_mtsc_rin3_g2_tftd_dis_homozy_del_rep2
ENSMUSG00000047153,5779,6983,6086,7510,7666,6482
ENSMUSG00000047155,0,0,0,0,0,0
ENSMUSG00000047161,2,1,2,2,2,0
ENSMUSG00000047168,0,0,0,0,0,0
ENSMUSG00000047171,0,1,0,0,0,3
ENSMUSG00000047180,0,4,3,5,2,1
ENSMUSG00000047181,284,283,280,300,176,254
ENSMUSG00000047182,1408,1930,2099,1527,1764,2943
ENSMUSG00000047187,9595,12543,10394,11696,10272,10858
ENSMUSG00000047189,1,0,0,1,0,0
ENSMUSG00000047193,1144,1534,757,1364,1786,1233
ENSMUSG00000047197,4,8,6,5,10,17
ENSMUSG00000047203,0,0,0,0,0,0
ENSMUSG00000047205,2090,1968,1742,2051,2420,2319
ENSMUSG00000047207,0,0,0,0,0,0
ENSMUSG00000047213,10588,12660,8112,12297,11529,12017
ENSMUSG00000047215,52122,63800,66605,63162,71546,64198
ENSMUSG00000047216,0,0,1,5,0,1
ENSMUSG00000047220,50,34,30,74,54,74
ENSMUSG00000047221,1333,1390,1263,1454,1294,1415
ENSMUSG00000047222,0,0,0,0,0,0
ENSMUSG00000047225,0,0,0,0,0,0
ENSMUSG00000047227,260,309,277,364,373,280
ENSMUSG00000047228,0,0,0,2,0,0
ENSMUSG00000047230,2,0,0,0,1,2
ENSMUSG00000047237,0,0,0,0,0,0
ENSMUSG00000047238,244,347,319,409,360,299
ENSMUSG00000047242,262,378,248,330,326,333
ENSMUSG00000047246,12,37,21,33,25,36
ENSMUSG00000047248,2637,2987,2811,3140,3398,3367
ENSMUSG00000047250,24,45,18,89,20,84
ENSMUSG00000047253,0,0,0,0,0,0
ENSMUSG00000047257,8,12,5,19,10,14
ENSMUSG00000047259,0,0,0,0,0,0
ENSMUSG00000047260,4975,6000,5651,6167,5878,5780
ENSMUSG00000047261,1,0,0,0,0,0
ENSMUSG00000047264,758,988,1053,916,1140,999
ENSMUSG00000047281,8694,7245,8817,6888,9600,5860
ENSMUSG00000047284,4398,5048,4893,4458,5035,5494
ENSMUSG00000047286,0,0,0,0,0,0
ENSMUSG00000047293,0,0,0,0,0,0
ENSMUSG00000047295,0,0,0,0,0,0
ENSMUSG00000047298,0,0,0,2,0,0
ENSMUSG00000047307,0,1,0,0,1,0
ENSMUSG00000047324,0,0,0,0,0,0
ENSMUSG00000047330,1,0,1,4,0,1
ENSMUSG00000047342,0,0,0,0,0,2
ENSMUSG00000047343,0,0,2,0,1,0
ENSMUSG00000047344,64,70,29,50,73,39
ENSMUSG00000047347,0,0,0,1,0,0
ENSMUSG00000047352,0,0,0,0,0,0
ENSMUSG00000047356,0,0,0,0,0,0
ENSMUSG00000047361,1,1,2,0,0,0
ENSMUSG00000047363,18,39,25,21,50,52
ENSMUSG00000047368,6166,8198,6293,7511,8067,7512
ENSMUSG00000047369,38,41,43,66,52,41
ENSMUSG00000047370,16,23,26,21,16,20
ENSMUSG00000047371,767,963,948,799,1022,845
ENSMUSG00000047379,49,49,76,52,57,48
ENSMUSG00000047383,0,0,0,0,0,0
ENSMUSG00000047384,0,1,1,0,4,1
ENSMUSG00000047388,4299,5487,5107,5554,6148,6924
ENSMUSG00000047390,0,0,0,0,0,0
ENSMUSG00000047394,70,104,142,89,2,139
ENSMUSG00000047407,3938,3729,4002,4490,4347,4367
ENSMUSG00000047409,3398,4160,3761,3400,3910,6488
ENSMUSG00000047412,7962,10227,8161,8944,12364,8379
ENSMUSG00000047414,3,7,4,12,2,0
ENSMUSG00000047415,4,5,4,6,5,5
ENSMUSG00000047417,6485,7617,7314,7461,8531,7849
ENSMUSG00000047419,4,5,8,13,10,8
ENSMUSG00000047420,0,3,0,0,0,3
ENSMUSG00000047423,1294,1494,1675,1375,1380,1656
ENSMUSG00000047428,348,350,269,379,540,263
ENSMUSG00000047434,1788,1955,1975,2069,2353,1905
ENSMUSG00000047441,0,2,1,2,1,5
ENSMUSG00000047443,605,770,791,687,721,850
ENSMUSG00000047444,0,0,0,2,0,0
ENSMUSG00000047446,674,672,723,824,1070,611
ENSMUSG00000047454,776,924,799,869,1237,421
ENSMUSG00000047459,5953,6452,6914,7019,7253,6927
ENSMUSG00000047462,0,0,0,0,0,0
ENSMUSG00000047466,3552,3816,2964,4053,3887,3826
ENSMUSG00000047473,187,200,233,258,321,206
ENSMUSG00000047485,5,4,1,9,1,1
ENSMUSG00000047492,1,2,0,2,1,3
ENSMUSG00000047495,78,79,51,67,87,72
ENSMUSG00000047496,112,153,112,158,126,121
ENSMUSG00000047497,1,0,2,9,0,2
ENSMUSG00000047501,44388,45667,51579,55300,56475,49651
ENSMUSG00000047502,7,11,4,12,7,21
ENSMUSG00000047507,66,117,54,94,67,238
ENSMUSG00000047508,0,0,0,1,0,1
ENSMUSG00000047509,2,1,5,2,2,5
ENSMUSG00000047511,0,0,0,0,0,0
ENSMUSG00000047514,2866,3403,2958,3259,3240,3136
ENSMUSG00000047515,197,255,216,234,284,301
ENSMUSG00000047517,3,3,1,0,0,2
ENSMUSG00000047518,11,2,3,12,5,11
ENSMUSG00000047528,3,1,1,5,4,5
ENSMUSG00000047531,0,0,0,0,0,0
ENSMUSG00000047534,5235,6564,4540,6409,6787,5786
ENSMUSG00000047535,0,0,0,0,0,0
ENSMUSG00000047539,2887,3401,2902,3241,4185,3455
ENSMUSG00000047544,0,0,0,0,0,0
ENSMUSG00000047545,0,0,0,0,0,0
ENSMUSG00000047547,4545,5105,5134,4706,5189,5172
ENSMUSG00000047554,3165,3422,3158,3017,3657,3655
ENSMUSG00000047557,953,1335,1254,1329,696,1598
ENSMUSG00000047562,0,1,3,3,0,0
ENSMUSG00000047564,0,0,0,0,0,0
ENSMUSG00000047565,17,20,15,13,24,16
ENSMUSG00000047583,451,484,364,499,349,491
ENSMUSG00000047586,22,43,13,32,13,56
ENSMUSG00000047591,343,332,371,380,425,250
ENSMUSG00000047592,0,0,0,0,0,1
ENSMUSG00000047594,1,0,0,0,0,0
ENSMUSG00000047603,147,182,200,232,205,212
ENSMUSG00000047604,238,351,305,343,237,328
ENSMUSG00000047606,0,0,0,0,0,0
ENSMUSG00000047613,977,1271,1177,1390,1198,1236
ENSMUSG00000047617,128,140,147,198,185,134
ENSMUSG00000047619,0,0,0,0,0,0
ENSMUSG00000047626,0,0,0,0,0,0
ENSMUSG00000047631,0,0,1,0,0,1
ENSMUSG00000047632,97,123,137,55,168,124
ENSMUSG00000047635,854,1008,937,881,1101,1168
ENSMUSG00000047636,1,1,1,1,2,1
ENSMUSG00000047638,0,0,0,0,1,0
ENSMUSG00000047641,4,3,2,3,6,2
ENSMUSG00000047642,161,252,139,143,230,174
ENSMUSG00000047643,0,0,0,0,2,0
ENSMUSG00000047648,4035,4655,3320,4816,4324,3963
ENSMUSG00000047649,2399,3013,2689,2832,2667,2742
ENSMUSG00000047652,0,0,0,0,0,0
ENSMUSG00000047654,3,0,3,0,4,8
ENSMUSG00000047655,0,0,0,0,0,0
ENSMUSG00000047656,380,402,460,406,564,512
ENSMUSG00000047657,1,1,3,4,4,3
ENSMUSG00000047658,36,48,44,50,30,45
ENSMUSG00000047661,0,0,0,0,0,0
ENSMUSG00000047667,0,0,0,0,0,0
ENSMUSG00000047669,70,76,98,89,74,83
ENSMUSG00000047671,5,7,4,8,4,5
ENSMUSG00000047674,0,0,0,1,0,0
ENSMUSG00000047675,70333,99096,91432,80543,97827,88105
ENSMUSG00000047676,309,359,319,337,347,397
ENSMUSG00000047678,0,0,0,0,0,0
ENSMUSG00000047686,0,0,0,0,0,0
ENSMUSG00000047692,2,1,1,3,1,1
ENSMUSG00000047694,3760,3779,3503,4261,5704,5343
ENSMUSG00000047696,0,0,0,0,0,0
ENSMUSG00000047702,2,1,0,1,1,3
ENSMUSG00000047710,6929,7644,7050,7411,8056,8319
ENSMUSG00000047712,339,460,309,587,468,413
ENSMUSG00000047714,4516,4881,4758,5589,7425,4618
ENSMUSG00000047716,0,0,0,0,0,0
ENSMUSG00000047719,868,1056,940,1065,1014,1066
ENSMUSG00000047720,0,0,0,0,0,0
ENSMUSG00000047721,2477,3193,3161,3029,3071,2974
ENSMUSG00000047728,6,18,11,13,22,4
ENSMUSG00000047730,1,0,0,0,0,0
ENSMUSG00000047731,4675,5636,5125,6049,4505,5944
ENSMUSG00000047733,4,3,1,1,3,2
ENSMUSG00000047735,0,1,0,4,0,2
ENSMUSG00000047746,0,1,0,3,0,0
ENSMUSG00000047747,11,7,13,15,11,18
ENSMUSG00000047749,2672,2749,1609,2965,2786,3138
ENSMUSG00000047751,10382,14499,11824,14133,14103,15943
ENSMUSG00000047757,380,381,321,403,398,406
ENSMUSG00000047759,109,126,95,117,132,152
ENSMUSG00000047766,168,241,170,191,155,217
ENSMUSG00000047767,1597,2301,1743,1845,1955,2166
ENSMUSG00000047773,0,0,0,0,0,2
ENSMUSG00000047777,1721,2065,1928,2050,2058,2069
ENSMUSG00000047786,4,1,2,8,4,7
ENSMUSG00000047787,46,48,29,80,63,35
ENSMUSG00000047789,1012,1126,860,1190,1350,1156
ENSMUSG00000047793,545,384,458,658,725,550
ENSMUSG00000047794,0,0,0,0,0,1
ENSMUSG00000047797,0,1,0,0,0,0
ENSMUSG00000047798,1,10,2,2,0,10
ENSMUSG00000047799,0,0,0,0,0,0
ENSMUSG00000047804,1924,2035,1662,2140,2394,2392
ENSMUSG00000047807,1,0,0,0,0,0
ENSMUSG00000047810,280,267,294,322,311,356
ENSMUSG00000047819,0,0,0,0,0,0
ENSMUSG00000047821,20,12,18,49,16,20
ENSMUSG00000047822,1,0,0,3,3,0
ENSMUSG00000047824,4453,5185,5017,5582,5223,4896
ENSMUSG00000047828,0,0,0,0,0,0
ENSMUSG00000047832,3683,4186,4099,4725,4528,4097
ENSMUSG00000047841,2,3,0,1,0,1
ENSMUSG00000047842,21,70,49,100,142,80
ENSMUSG00000047843,941,1185,1207,1342,1427,1340
ENSMUSG00000047844,472,624,638,845,858,353
ENSMUSG00000047854,0,0,0,0,0,1
ENSMUSG00000047861,0,0,0,0,0,0
ENSMUSG00000047866,5495,6890,6198,6699,9563,7352
ENSMUSG00000047867,0,0,0,2,0,0
ENSMUSG00000047868,0,0,0,0,0,0
ENSMUSG00000047875,389,312,335,440,369,430
ENSMUSG00000047878,292,546,348,322,396,665
ENSMUSG00000047879,15556,16284,14472,16726,15490,16515
ENSMUSG00000047880,0,0,2,3,2,0
ENSMUSG00000047881,5603,5432,5742,7303,5568,6431
ENSMUSG00000047884,24,19,19,11,19,34
ENSMUSG00000047888,4841,4812,3587,5743,5027,5581
ENSMUSG00000047889,0,0,0,0,0,0
ENSMUSG00000047894,0,0,0,0,0,0
ENSMUSG00000047897,0,0,0,0,0,0
ENSMUSG00000047898,10,15,10,57,27,8
ENSMUSG00000047904,21,27,15,49,47,27
ENSMUSG00000047905,143,177,182,159,175,152
ENSMUSG00000047907,0,0,1,5,6,3
ENSMUSG00000047909,2025,2337,1995,2120,2317,2600
ENSMUSG00000047910,0,0,1,0,0,0
ENSMUSG00000047911,84,85,97,111,121,151
ENSMUSG00000047921,2039,2539,2553,2453,3268,2621
ENSMUSG00000047935,1,4,0,4,3,0
ENSMUSG00000047938,0,5,3,5,4,6
ENSMUSG00000047940,0,0,3,8,1,2
ENSMUSG00000047945,17677,19807,19387,19632,17717,20188
ENSMUSG00000047953,9,6,3,14,40,6
ENSMUSG00000047959,2,4,0,1,0,1
ENSMUSG00000047960,0,0,0,0,0,0
ENSMUSG00000047963,93,139,115,78,169,111
ENSMUSG00000047965,0,2,0,2,0,2
ENSMUSG00000047969,0,0,0,0,0,0
ENSMUSG00000047976,10,10,12,6,22,7
ENSMUSG00000047977,0,0,0,0,0,0
ENSMUSG00000047980,0,0,0,0,0,0
ENSMUSG00000047986,343,404,425,536,548,311
ENSMUSG00000047988,22,15,16,14,22,10
ENSMUSG00000047989,1497,1860,1594,2385,2071,1974
ENSMUSG00000047990,0,0,0,0,5,0
ENSMUSG00000047992,0,1,1,2,1,4
ENSMUSG00000047995,0,0,0,0,0,0
ENSMUSG00000047996,668,1297,613,917,919,1190
ENSMUSG00000048000,10809,12975,9552,12078,13695,13864
ENSMUSG00000048001,6,2,10,8,10,8
ENSMUSG00000048003,8,5,4,7,5,13
ENSMUSG00000048004,0,0,0,0,0,0
ENSMUSG00000048007,311,336,318,425,365,367
ENSMUSG00000048012,342,364,348,426,321,329
ENSMUSG00000048013,0,0,0,0,0,0
ENSMUSG00000048015,0,0,0,0,0,0
ENSMUSG00000048022,12,7,8,22,14,5
ENSMUSG00000048027,795,956,868,1026,1209,934
ENSMUSG00000048029,44,58,41,61,45,46
ENSMUSG00000048031,0,0,0,0,0,0
ENSMUSG00000048038,1,0,1,0,0,0
ENSMUSG00000048039,5187,6218,5376,5677,5263,6641
ENSMUSG00000048040,328,516,451,553,467,363
ENSMUSG00000048047,1745,1954,1282,2132,2006,2068
ENSMUSG00000048058,1360,1513,1328,1528,1372,1552
ENSMUSG00000048062,0,0,0,0,0,0
ENSMUSG00000048065,0,0,0,1,0,0
ENSMUSG00000048067,0,0,0,1,0,0
ENSMUSG00000048070,0,0,0,0,0,0
ENSMUSG00000048076,30781,34996,32605,35218,35290,34548
ENSMUSG00000048077,0,0,0,0,0,0
ENSMUSG00000048078,11,27,21,60,11,2
ENSMUSG00000048080,0,0,0,0,0,0
ENSMUSG00000048087,63,83,57,63,40,71
ENSMUSG00000048096,4,2,5,7,7,14
ENSMUSG00000048100,1017,1278,1097,1177,1067,1241
ENSMUSG00000048101,0,0,0,0,0,0
ENSMUSG00000048106,535,595,501,519,486,538
ENSMUSG00000048108,0,0,0,0,0,1
ENSMUSG00000048109,3696,4561,3072,4878,4927,4537
ENSMUSG00000048118,1557,1879,1353,1800,2333,1882
ENSMUSG00000048120,4,2,7,2,3,11
ENSMUSG00000048126,31,22,9,38,21,16
ENSMUSG00000048138,248,248,241,194,286,250
ENSMUSG00000048142,17947,28144,24333,21172,31196,27514
ENSMUSG00000048148,70,76,87,140,200,108
ENSMUSG00000048153,0,1,1,1,0,1
ENSMUSG00000048154,12113,12675,9222,12344,11791,14365
ENSMUSG00000048155,0,0,0,0,0,0
ENSMUSG00000048163,3,2,1,5,2,1
ENSMUSG00000048164,65,53,63,70,60,69
ENSMUSG00000048170,6865,7592,7181,8021,7662,7663
ENSMUSG00000048173,0,0,0,0,0,0
ENSMUSG00000048174,350,601,508,460,571,441
ENSMUSG00000048175,1794,2043,1985,2002,2339,1990
ENSMUSG00000048185,0,0,0,0,1,1
ENSMUSG00000048186,84,119,86,114,101,72
ENSMUSG00000048188,10,10,5,13,14,17
ENSMUSG00000048191,0,2,0,1,1,0
ENSMUSG00000048197,0,0,0,0,0,0
ENSMUSG00000048200,559,625,683,626,814,636
ENSMUSG00000048206,0,0,0,0,0,0
ENSMUSG00000048215,1,1,0,2,2,1
ENSMUSG00000048216,60,88,66,109,101,61
ENSMUSG00000048217,370,345,385,301,308,289
ENSMUSG00000048218,557,642,663,781,892,833
ENSMUSG00000048222,579,805,662,722,852,749
ENSMUSG00000048226,0,0,0,0,0,0
ENSMUSG00000048230,14,24,15,24,19,16
ENSMUSG00000048231,0,0,1,0,1,2
ENSMUSG00000048232,608,919,643,669,641,899
ENSMUSG00000048234,2165,2202,1873,4670,2151,1899
ENSMUSG00000048236,0,0,0,0,0,0
ENSMUSG00000048240,283,290,326,404,407,358
ENSMUSG00000048249,689,1091,848,1130,1868,1480
ENSMUSG00000048251,266,251,222,272,459,253
ENSMUSG00000048261,0,0,0,0,0,0
ENSMUSG00000048264,1762,1983,1568,2224,2360,2315
ENSMUSG00000048271,8115,8458,7082,8789,9525,9488
ENSMUSG00000048277,6329,6708,7128,7403,7088,7298
ENSMUSG00000048279,4982,5894,2971,6590,4483,5345
ENSMUSG00000048280,1099,1317,770,1028,1201,1254
ENSMUSG00000048281,14,11,10,20,36,32
ENSMUSG00000048284,1,0,0,0,0,0
ENSMUSG00000048285,2646,3030,2589,3548,4205,2685
ENSMUSG00000048292,0,0,0,1,0,0
ENSMUSG00000048294,0,0,0,0,0,0
ENSMUSG00000048299,0,0,0,0,0,0
ENSMUSG00000048304,1,0,0,1,1,0
ENSMUSG00000048307,2389,2798,2535,2879,3221,3038
ENSMUSG00000048310,3097,3667,2907,3365,4465,4046
ENSMUSG00000048312,0,0,0,0,0,0
ENSMUSG00000048316,13,13,21,30,33,27
ENSMUSG00000048327,5471,6382,5435,6497,7125,6338
ENSMUSG00000048329,0,0,0,0,0,0
ENSMUSG00000048330,1,2,4,3,4,6
ENSMUSG00000048332,122,155,144,241,156,194
ENSMUSG00000048334,0,5,3,1,0,3
ENSMUSG00000048337,8,16,8,23,11,21
ENSMUSG00000048347,4,0,1,1,0,1
ENSMUSG00000048349,118,134,126,219,100,117
ENSMUSG00000048351,2333,3198,2540,3213,2811,2848
ENSMUSG00000048355,67,98,99,137,124,60
ENSMUSG00000048356,0,0,0,0,0,0
ENSMUSG00000048368,0,1,0,2,0,0
ENSMUSG00000048371,1490,1652,1318,1373,1200,1795
ENSMUSG00000048373,1877,2090,1765,2114,2576,1348
ENSMUSG00000048376,6098,6848,5518,7543,10858,7637
ENSMUSG00000048377,0,0,0,0,0,1
ENSMUSG00000048378,0,0,0,0,0,0
ENSMUSG00000048379,2499,2963,1841,2885,3116,2932
ENSMUSG00000048385,7,9,6,6,1,6
ENSMUSG00000048387,0,0,0,0,0,0
ENSMUSG00000048388,21,31,15,47,27,21
ENSMUSG00000048391,0,0,0,1,0,0
ENSMUSG00000048398,0,0,0,0,0,0
ENSMUSG00000048399,1,1,0,1,0,0
ENSMUSG00000048400,0,0,0,0,0,0
ENSMUSG00000048402,390,341,330,593,610,355
ENSMUSG00000048406,32,40,36,42,31,40
ENSMUSG00000048410,2003,2262,1540,2242,1951,2313
ENSMUSG00000048411,0,0,0,0,0,0
ENSMUSG00000048416,200,261,245,261,191,239
ENSMUSG00000048424,0,0,0,0,0,0
ENSMUSG00000048425,0,0,0,0,0,0
ENSMUSG00000048429,3114,3479,3123,3865,4089,3862
ENSMUSG00000048439,1176,1320,1302,1365,1490,1402
ENSMUSG00000048440,120,199,128,281,257,191
ENSMUSG00000048442,1,1,2,8,9,3
ENSMUSG00000048445,424,519,510,510,550,510
ENSMUSG00000048450,1272,1551,1189,2268,2112,1205
ENSMUSG00000048455,0,0,0,0,0,0
ENSMUSG00000048456,0,0,0,0,0,0
ENSMUSG00000048458,283,309,309,509,746,312
ENSMUSG00000048469,0,0,0,0,0,0
ENSMUSG00000048473,1,0,0,0,1,1
ENSMUSG00000048478,101,135,133,72,97,134
ENSMUSG00000048480,0,4,0,0,0,0
ENSMUSG00000048481,715,708,685,813,771,689
ENSMUSG00000048482,39,25,49,52,40,18
ENSMUSG00000048483,0,0,0,0,0,1
ENSMUSG00000048484,8,10,3,10,7,10
ENSMUSG00000048485,3,3,0,3,9,2
ENSMUSG00000048486,658,764,648,741,820,728
ENSMUSG00000048489,6,1,0,14,6,5
ENSMUSG00000048490,1885,2152,1117,2592,2333,2453
ENSMUSG00000048495,1062,1212,1049,1160,1319,1230
ENSMUSG00000048497,815,1074,1069,1026,966,1299
ENSMUSG00000048498,1,0,1,1,1,3
ENSMUSG00000048500,0,0,0,0,0,0
ENSMUSG00000048501,0,0,0,0,0,0
ENSMUSG00000048502,0,0,0,0,0,0
ENSMUSG00000048503,1235,1670,1371,951,994,1491
ENSMUSG00000048516,0,0,0,0,0,0
ENSMUSG00000048520,1,2,2,1,0,0
ENSMUSG00000048521,1,0,1,1,2,0
ENSMUSG00000048528,0,0,1,3,2,0
ENSMUSG00000048534,2,4,10,6,3,18
ENSMUSG00000048537,8425,10298,9341,9415,12470,10194
ENSMUSG00000048538,6,8,9,6,10,11
ENSMUSG00000048540,1,1,0,0,0,0
ENSMUSG00000048546,1176,1311,1278,1809,1183,1525
ENSMUSG00000048550,511,526,537,676,758,473
ENSMUSG00000048559,0,0,0,0,0,0
ENSMUSG00000048562,7,14,7,6,13,3
ENSMUSG00000048572,1,1,0,4,0,0
ENSMUSG00000048573,0,0,0,0,0,0
ENSMUSG00000048574,32,30,30,40,52,38
ENSMUSG00000048578,17295,19067,16843,19180,21438,22015
ENSMUSG00000048581,196,312,236,230,313,272
ENSMUSG00000048582,25,32,27,57,37,56
ENSMUSG00000048583,115530,103891,85355,100951,105624,139420
ENSMUSG00000048592,3,1,2,4,5,9
ENSMUSG00000048600,3,7,2,1,1,2
ENSMUSG00000048602,0,2,0,3,1,0
ENSMUSG00000048603,136,160,150,137,152,160
ENSMUSG00000048612,30900,32875,27127,35899,42713,38454
ENSMUSG00000048616,9,21,9,82,11,7
ENSMUSG00000048617,3,2,0,2,0,1
ENSMUSG00000048620,0,0,1,0,0,0
ENSMUSG00000048621,7,3,0,3,4,0
ENSMUSG00000048626,0,0,1,1,1,1
ENSMUSG00000048628,0,0,0,0,0,0
ENSMUSG00000048636,17,19,23,8,22,9
ENSMUSG00000048643,0,0,0,0,0,0
ENSMUSG00000048644,831,748,1092,992,1014,935
ENSMUSG00000048647,67,79,81,98,79,132
ENSMUSG00000048652,1,2,6,8,4,2
ENSMUSG00000048655,30,22,12,15,31,8
ENSMUSG00000048661,4323,5399,3708,5176,4374,5489
ENSMUSG00000048668,4710,5224,5108,5229,5328,4892
ENSMUSG00000048677,840,1034,908,902,815,998
ENSMUSG00000048686,0,0,0,0,0,0
ENSMUSG00000048693,0,0,0,0,0,0
ENSMUSG00000048696,1492,1795,1577,1877,1806,1834
ENSMUSG00000048697,0,0,0,0,0,0
ENSMUSG00000048699,0,0,0,0,0,0
ENSMUSG00000048701,3782,4574,3904,4282,4356,4799
ENSMUSG00000048703,0,0,0,0,0,0
ENSMUSG00000048706,2,9,4,11,15,1
ENSMUSG00000048707,2197,2572,2693,2469,3603,3052
ENSMUSG00000048709,178,175,181,184,174,209
ENSMUSG00000048720,482,645,454,712,589,567
ENSMUSG00000048721,3,1,3,1,0,0
ENSMUSG00000048728,16,15,18,18,28,12
ENSMUSG00000048731,71,20,91,26,74,236
ENSMUSG00000048732,1685,1697,920,1676,1827,1971
ENSMUSG00000048745,0,0,0,0,0,0
ENSMUSG00000048747,0,0,0,1,0,0
ENSMUSG00000048752,132,177,162,149,239,291
ENSMUSG00000048755,1411,1776,1694,1532,1563,1791
ENSMUSG00000048756,3095,3686,3466,4795,5799,3186
ENSMUSG00000048758,14047,17370,18425,16268,18637,17561
ENSMUSG00000048763,14,16,8,19,32,8
ENSMUSG00000048764,0,2,1,4,0,10
ENSMUSG00000048766,0,0,0,0,0,0
ENSMUSG00000048772,89,137,110,99,109,161
ENSMUSG00000048775,0,0,0,0,0,0
ENSMUSG00000048776,12,22,5,8,21,23
ENSMUSG00000048779,13,15,25,22,21,30
ENSMUSG00000048782,0,0,0,0,1,0
ENSMUSG00000048787,1167,1188,1021,1167,1312,1243
ENSMUSG00000048794,0,0,1,0,0,0
ENSMUSG00000048796,358,390,362,391,347,458
ENSMUSG00000048799,4135,4953,4569,4984,5001,5157
ENSMUSG00000048806,0,0,0,0,0,0
ENSMUSG00000048807,1267,1152,1287,1517,1765,1284
ENSMUSG00000048810,0,0,0,0,0,0
ENSMUSG00000048814,8,10,11,20,7,14
ENSMUSG00000048824,1,4,1,1,3,0
ENSMUSG00000048826,2810,3077,3502,3348,4626,3462
ENSMUSG00000048827,10,17,10,16,21,13
ENSMUSG00000048830,0,0,0,0,0,0
ENSMUSG00000048832,1647,2114,1759,3145,1885,2138
ENSMUSG00000048833,2618,2934,2153,3297,2846,3302
ENSMUSG00000048834,4,4,6,6,13,11
ENSMUSG00000048852,0,0,0,0,1,0
ENSMUSG00000048856,146,208,127,174,131,210
ENSMUSG00000048865,5,6,4,4,2,16
ENSMUSG00000048874,18590,21194,18032,22530,28586,23422
ENSMUSG00000048875,1,0,2,1,0,0
ENSMUSG00000048878,4710,6821,4944,6737,4735,6494
ENSMUSG00000048895,157,166,120,344,289,251
ENSMUSG00000048897,9829,10606,11472,10226,11163,12581
ENSMUSG00000048899,200,269,129,148,142,285
ENSMUSG00000048904,48,22,29,40,53,18
ENSMUSG00000048905,18,9,8,24,6,32
ENSMUSG00000048911,1381,1129,1085,1752,1456,1157
ENSMUSG00000048915,139,87,99,392,84,136
ENSMUSG00000048916,9,4,9,7,7,10
ENSMUSG00000048919,0,0,0,0,0,0
ENSMUSG00000048920,1797,2384,2002,2057,2324,2392
ENSMUSG00000048921,373,510,455,531,670,478
ENSMUSG00000048922,6894,7599,7660,8364,9330,8077
ENSMUSG00000048924,50,61,23,23,29,50
ENSMUSG00000048930,3543,4219,4550,4076,6341,4424
ENSMUSG00000048933,0,0,0,0,0,0
ENSMUSG00000048938,1,0,0,0,2,0
ENSMUSG00000048939,1,0,0,0,0,0
ENSMUSG00000048949,33,53,31,45,42,42
ENSMUSG00000048960,856,1531,582,1223,1391,1090
ENSMUSG00000048965,1,5,8,10,4,9
ENSMUSG00000048967,28,52,40,49,47,40
ENSMUSG00000048970,1205,1691,1364,1412,1198,1454
ENSMUSG00000048978,1,1,2,3,4,2
ENSMUSG00000048981,0,0,0,0,1,0
ENSMUSG00000048982,0,0,0,0,0,0
ENSMUSG00000048988,266,476,205,297,404,238
ENSMUSG00000048992,5,3,2,10,4,4
ENSMUSG00000048994,0,0,0,0,0,0
ENSMUSG00000048996,0,0,0,0,0,1
ENSMUSG00000048997,465,595,497,828,586,587
ENSMUSG00000049001,9,5,3,9,3,2
ENSMUSG00000049008,0,0,0,0,0,0
ENSMUSG00000049010,0,0,0,0,0,0
ENSMUSG00000049011,0,0,0,0,0,0
ENSMUSG00000049013,2,4,2,1,5,3
ENSMUSG00000049015,0,0,0,0,0,0
ENSMUSG00000049018,0,0,0,0,0,0
ENSMUSG00000049028,0,0,0,0,0,0
ENSMUSG00000049036,1002,1064,1086,1195,908,1018
ENSMUSG00000049037,2,2,2,3,0,1
ENSMUSG00000049038,559,672,608,564,639,694
ENSMUSG00000049041,0,0,0,0,0,0
ENSMUSG00000049044,3,3,1,5,0,0
ENSMUSG00000049047,3,0,1,10,0,0
ENSMUSG00000049052,0,0,0,0,0,0
ENSMUSG00000049057,0,0,0,0,0,0
ENSMUSG00000049062,0,0,0,0,0,0
ENSMUSG00000049073,0,0,0,0,0,0
ENSMUSG00000049076,5949,6845,4779,7224,8148,7010
ENSMUSG00000049086,797,984,923,843,1012,951
ENSMUSG00000049090,1627,1451,1448,2162,2093,1746
ENSMUSG00000049091,6211,8410,7822,6726,6210,6305
ENSMUSG00000049092,50,59,70,41,73,101
ENSMUSG00000049093,0,0,0,0,0,0
ENSMUSG00000049094,0,0,0,0,0,0
ENSMUSG00000049097,35,70,61,20,19,26
ENSMUSG00000049098,0,0,0,0,0,0
ENSMUSG00000049100,6,9,7,18,4,5
ENSMUSG00000049103,0,0,0,0,0,0
ENSMUSG00000049106,7356,8998,8788,8307,7834,9406
ENSMUSG00000049107,20,22,42,18,3,30
ENSMUSG00000049109,0,0,0,0,0,0
ENSMUSG00000049112,9,27,11,28,19,22
ENSMUSG00000049115,6,9,6,5,7,4
ENSMUSG00000049119,435,500,508,557,625,511
ENSMUSG00000049122,1,0,1,3,0,0
ENSMUSG00000049123,1,1,0,0,0,0
ENSMUSG00000049124,409,528,496,504,497,481
ENSMUSG00000049128,0,0,0,1,0,0
ENSMUSG00000049130,0,0,0,0,0,0
ENSMUSG00000049133,0,0,0,0,0,0
ENSMUSG00000049134,26,30,21,24,16,28
