gene_id,s_mtsc_complete_wt,s_mtsc_ezr_a1_td_single_tdbl,s_mtsc_ezr_d1_td_single_tdbl,s_mtsc_klf5_a3_tdbl_first_half,s_mtsc_klf5_d3_tdbl_first_half,s_mtsc_rin3_g2_tftd_dis_homozy_del,s_mtsc_rin3_h2_tftd_dis_insertion_td
ENSMUSG00000022020,3525,1660,2780,2657,2811,2827,2730
ENSMUSG00000022021,4665,2237,3976,4141,3833,4438,4343
ENSMUSG00000022022,8,20,13,13,0,18,16
ENSMUSG00000022023,2453,1283,2651,2250,2473,2871,2466
ENSMUSG00000022024,6120,3329,7472,6445,6791,7270,5999
ENSMUSG00000022025,0,0,0,0,0,0,0
ENSMUSG00000022026,0,0,0,0,0,0,0
ENSMUSG00000022031,6023,3624,5035,4429,5028,6290,5733
ENSMUSG00000022032,131,3,91,98,47,189,244
ENSMUSG00000022033,3177,2028,3093,2902,3249,3755,3105
ENSMUSG00000022034,4816,2927,4345,4466,4829,5482,5284
ENSMUSG00000022035,3054,2238,3703,3149,3116,4065,3140
ENSMUSG00000022037,17970,13410,17682,15478,25484,23206,18512
ENSMUSG00000022039,0,0,0,0,0,0,2
ENSMUSG00000022040,28,25,13,7,14,37,27
ENSMUSG00000022041,0,0,1,0,0,1,0
ENSMUSG00000022043,2839,2100,3298,2551,2643,3511,3287
ENSMUSG00000022044,4,0,1,4,5,15,8
ENSMUSG00000022048,320,129,373,339,394,390,259
ENSMUSG00000022051,7036,4834,5837,5223,5706,5581,4870
ENSMUSG00000022052,9342,6098,9389,9011,7884,9658,8579
ENSMUSG00000022053,592,222,290,426,293,558,825
ENSMUSG00000022054,5,4,6,8,7,5,4
ENSMUSG00000022055,940,26,1236,1162,319,384,242
ENSMUSG00000022056,1,0,2,0,0,0,0
ENSMUSG00000022057,0,0,0,0,0,1,0
ENSMUSG00000022061,136,24,107,92,123,167,150
ENSMUSG00000022064,1494,614,1249,1223,1134,1449,1322
ENSMUSG00000022066,0,0,0,0,0,0,0
ENSMUSG00000022070,3940,1883,3534,3337,3665,3921,3877
ENSMUSG00000022074,4015,2489,4339,3977,3194,3807,1826
ENSMUSG00000022075,1293,722,1162,1063,1349,1446,1693
ENSMUSG00000022076,0,0,0,0,0,0,0
ENSMUSG00000022085,0,0,0,0,0,0,0
ENSMUSG00000022089,848,420,927,761,1109,1178,963
ENSMUSG00000022090,3473,2383,3236,2405,2452,4080,3684
ENSMUSG00000022091,5772,4339,6340,4971,6204,6771,6172
ENSMUSG00000022092,736,547,347,403,734,610,802
ENSMUSG00000022094,3817,4240,4452,3475,4683,4209,3479
ENSMUSG00000022095,3021,1416,3440,2990,3351,3469,2794
ENSMUSG00000022096,641,149,742,663,536,587,495
ENSMUSG00000022097,5,0,2,5,4,5,6
ENSMUSG00000022098,49971,27942,54862,47775,51526,52601,49907
ENSMUSG00000022099,948,576,738,657,481,1089,855
ENSMUSG00000022100,9967,3996,9708,9236,8582,9639,9377
ENSMUSG00000022101,19,7,22,22,7,53,73
ENSMUSG00000022102,6952,2108,7017,6439,5555,6350,7182
ENSMUSG00000022103,45,5,76,24,32,59,58
ENSMUSG00000022105,1508,734,1149,1374,902,1272,1443
ENSMUSG00000022106,3110,1447,2595,2435,1752,2694,2750
ENSMUSG00000022108,6492,2743,6129,6169,5072,6716,6912
ENSMUSG00000022109,2824,1323,3163,2818,3102,3299,2817
ENSMUSG00000022110,5240,3365,5462,4755,5212,6430,5783
ENSMUSG00000022111,2088,1089,2369,2053,2051,2491,1842
ENSMUSG00000022112,2,0,0,0,0,0,4
ENSMUSG00000022113,0,0,1,0,1,0,0
ENSMUSG00000022114,9420,4235,7951,8734,9020,8190,8697
ENSMUSG00000022116,0,0,0,0,0,0,0
ENSMUSG00000022119,8683,3231,6463,6438,5667,6092,7056
ENSMUSG00000022120,263,6,290,201,230,277,137
ENSMUSG00000022122,3,2,11,0,1,7,4
ENSMUSG00000022123,3,0,9,1,0,3,0
ENSMUSG00000022124,2421,1015,1775,1707,1541,2004,2049
ENSMUSG00000022125,1969,1087,1793,1361,1512,2047,1875
ENSMUSG00000022126,0,2,0,0,1,0,0
ENSMUSG00000022129,0,0,0,0,0,0,0
ENSMUSG00000022130,2637,1039,2489,2316,2521,2680,2367
ENSMUSG00000022131,1411,588,1591,1461,1511,1597,1366
ENSMUSG00000022132,1,2,2,0,0,2,10
ENSMUSG00000022136,3530,1929,4283,3556,2962,4029,3471
ENSMUSG00000022139,15900,5934,11923,13237,11221,12911,14980
ENSMUSG00000022141,8771,6435,7318,7461,5903,7083,8737
ENSMUSG00000022142,11019,6515,9832,9599,8784,9922,10088
ENSMUSG00000022144,3,2,9,7,2,6,4
ENSMUSG00000022146,121,198,275,130,29,304,159
ENSMUSG00000022148,5,6,3,0,1,1,4
ENSMUSG00000022149,0,0,0,0,0,0,0
ENSMUSG00000022150,81,38,199,183,36,54,102
ENSMUSG00000022151,1118,680,1032,1051,814,978,1051
ENSMUSG00000022155,0,0,1,0,0,0,0
ENSMUSG00000022156,3,0,5,8,8,0,0
ENSMUSG00000022157,0,0,2,3,1,0,0
ENSMUSG00000022159,561,302,515,447,450,574,515
ENSMUSG00000022160,2017,1274,1871,1789,1772,1934,1885
ENSMUSG00000022174,4667,2722,5449,4578,5222,6074,4282
ENSMUSG00000022175,3943,4734,5790,4128,4967,5410,3700
ENSMUSG00000022176,291,181,315,198,311,337,297
ENSMUSG00000022177,2742,1952,2712,2553,2375,3259,2714
ENSMUSG00000022178,1536,1589,2010,1730,1304,1853,1924
ENSMUSG00000022179,329,322,317,232,246,471,416
ENSMUSG00000022180,2192,190,1851,1153,2667,2009,1469
ENSMUSG00000022181,0,0,0,0,1,0,0
ENSMUSG00000022184,213,146,258,213,198,277,273
ENSMUSG00000022185,18900,12528,18275,16608,16522,16196,15435
ENSMUSG00000022186,21064,3975,19256,20265,18632,18659,18546
ENSMUSG00000022187,0,0,0,0,0,0,0
ENSMUSG00000022191,11430,6256,9993,9478,10037,10250,10100
ENSMUSG00000022193,4167,3440,4564,4041,4353,4895,3639
ENSMUSG00000022194,1999,1255,1510,1439,1664,1661,1420
ENSMUSG00000022195,3738,2186,2827,2626,3184,2819,2980
ENSMUSG00000022197,10,84,26,21,8,26,14
ENSMUSG00000022199,10775,6262,6745,6863,9645,12065,9082
ENSMUSG00000022200,6835,4757,6721,5770,5597,7142,6114
ENSMUSG00000022201,7221,5945,8227,7776,6188,7814,7664
ENSMUSG00000022203,11420,9426,9986,10397,10234,11148,11498
ENSMUSG00000022204,2398,1848,3256,2678,2613,2685,2178
ENSMUSG00000022205,13336,9164,14055,13082,12009,14867,11498
ENSMUSG00000022206,133,42,92,96,60,39,196
ENSMUSG00000022208,47,17,45,72,30,81,102
ENSMUSG00000022209,0,0,0,0,0,0,0
ENSMUSG00000022210,427,280,668,495,448,663,381
ENSMUSG00000022211,33,17,74,29,63,58,43
ENSMUSG00000022212,0,0,0,0,1,0,2
ENSMUSG00000022214,1617,1136,1617,1252,1325,1805,1507
ENSMUSG00000022215,3,0,2,3,3,4,1
ENSMUSG00000022216,3496,1592,3793,2679,3692,4476,3013
ENSMUSG00000022217,292,230,298,226,259,440,337
ENSMUSG00000022218,752,538,780,418,414,1031,468
ENSMUSG00000022219,30,2,4,8,11,17,23
ENSMUSG00000022220,1,0,1,0,4,0,0
ENSMUSG00000022221,109,19,81,36,63,102,95
ENSMUSG00000022223,397,271,379,223,365,105,129
ENSMUSG00000022225,2,2,1,3,2,0,1
ENSMUSG00000022226,0,0,0,0,0,0,0
ENSMUSG00000022227,0,0,0,0,0,0,0
ENSMUSG00000022228,3232,2098,2478,2352,2157,2435,2539
ENSMUSG00000022229,10,3,55,29,8,62,17
ENSMUSG00000022231,2135,800,1640,1500,1101,2451,2398
ENSMUSG00000022234,44288,30779,44197,40172,43030,44185,38509
ENSMUSG00000022235,24,15,37,20,12,70,25
ENSMUSG00000022236,84,63,48,48,73,76,69
ENSMUSG00000022237,5568,3663,4071,2489,4519,4396,5118
ENSMUSG00000022240,12,3,10,2,5,3,19
ENSMUSG00000022241,15820,9574,15100,13518,15201,13493,12972
ENSMUSG00000022243,0,0,0,0,0,1,0
ENSMUSG00000022244,349,195,266,229,270,378,369
ENSMUSG00000022245,1,0,1,0,1,7,8
ENSMUSG00000022246,3971,1806,3418,3195,3478,3254,3548
ENSMUSG00000022247,7494,5054,7952,7098,6773,7804,6728
ENSMUSG00000022248,1468,761,1133,1189,1246,1271,1262
ENSMUSG00000022249,0,0,0,0,0,0,0
ENSMUSG00000022253,3303,1768,2207,2442,2434,2556,2696
ENSMUSG00000022255,14524,7993,13287,12465,10410,13410,12498
ENSMUSG00000022257,1532,924,1176,1262,1061,1622,1673
ENSMUSG00000022261,218,123,167,231,171,82,201
ENSMUSG00000022262,6,0,0,1,0,0,1
ENSMUSG00000022263,5516,3602,5431,5380,3618,4600,5672
ENSMUSG00000022265,791,484,767,754,845,751,866
ENSMUSG00000022269,1,1,5,0,0,2,1
ENSMUSG00000022270,1105,932,937,716,1071,942,1009
ENSMUSG00000022272,8631,8523,7817,7548,7095,8156,8555
ENSMUSG00000022280,5083,3731,5244,4642,4225,4984,4388
ENSMUSG00000022283,119812,78361,101875,99040,102478,100352,102980
ENSMUSG00000022285,24492,15209,27885,23161,24283,28265,20994
ENSMUSG00000022286,587,247,407,404,632,772,161
ENSMUSG00000022288,0,0,0,0,0,0,0
ENSMUSG00000022292,438,446,494,444,320,578,502
ENSMUSG00000022295,9623,4530,7466,6471,8303,8411,8995
ENSMUSG00000022296,21,6,13,14,20,10,27
ENSMUSG00000022297,531,399,563,523,420,568,731
ENSMUSG00000022299,1429,949,1561,1525,1292,1531,1186
ENSMUSG00000022300,3549,2604,3925,3287,3361,3896,3322
ENSMUSG00000022303,0,0,0,0,0,0,0
ENSMUSG00000022304,0,0,0,0,0,1,0
ENSMUSG00000022305,822,637,968,853,923,957,982
ENSMUSG00000022306,6,9,10,15,41,2,10
ENSMUSG00000022307,2324,2010,2245,2056,1964,2322,2433
ENSMUSG00000022309,0,0,0,0,0,0,0
ENSMUSG00000022311,0,0,0,0,0,0,0
ENSMUSG00000022312,15200,11048,14511,13318,14309,14380,13568
ENSMUSG00000022313,1620,1110,1835,1610,1820,1832,1607
ENSMUSG00000022314,36316,25310,28493,26422,26632,31950,31051
ENSMUSG00000022315,0,0,0,0,0,0,0
ENSMUSG00000022321,0,0,0,0,0,0,0
ENSMUSG00000022322,3394,2873,3466,3380,3045,3501,2803
ENSMUSG00000022323,494,232,441,368,292,544,395
ENSMUSG00000022324,165,107,107,171,269,139,156
ENSMUSG00000022325,6391,4586,7268,6544,7173,6218,5761
ENSMUSG00000022329,2584,2105,2152,2027,2163,2781,2800
ENSMUSG00000022330,83,48,55,77,74,101,142
ENSMUSG00000022332,1207,773,1158,992,1143,1066,1146
ENSMUSG00000022335,1280,1008,1179,1228,1026,1427,1299
ENSMUSG00000022336,15833,12200,14882,14028,13859,15636,14547
ENSMUSG00000022337,2834,2556,2823,2322,2036,2931,2582
ENSMUSG00000022338,2319,1580,2870,2281,2243,3080,2510
ENSMUSG00000022339,979,683,803,664,780,1000,988
ENSMUSG00000022340,1,3,1,0,4,0,0
ENSMUSG00000022342,0,0,0,0,0,0,0
ENSMUSG00000022346,10888,7086,8991,9507,10215,8524,7019
ENSMUSG00000022347,0,0,0,0,0,0,0
ENSMUSG00000022350,10043,6346,8874,7668,8383,9157,10090
ENSMUSG00000022351,8876,5287,8377,7732,6400,9605,8123
ENSMUSG00000022353,371,301,535,367,346,452,373
ENSMUSG00000022354,2056,1627,2260,1851,2174,2677,1989
ENSMUSG00000022357,0,0,5,1,1,8,1
ENSMUSG00000022358,458,340,445,328,448,587,395
ENSMUSG00000022359,1024,735,1046,1029,1012,1411,1127
ENSMUSG00000022360,9613,5637,8048,7880,6897,7732,8967
ENSMUSG00000022361,485,453,737,639,632,417,549
ENSMUSG00000022362,18,4,3,1,2,8,12
ENSMUSG00000022364,4421,2538,3183,3293,3967,3727,4803
ENSMUSG00000022365,4609,3430,4729,4035,4725,4888,4362
ENSMUSG00000022366,0,0,0,0,0,0,0
ENSMUSG00000022367,0,0,0,0,0,0,0
ENSMUSG00000022369,3042,1903,2362,2301,2343,2558,2784
ENSMUSG00000022370,2580,1515,2779,2505,2403,3107,2610
ENSMUSG00000022371,9,2,25,19,22,15,19
ENSMUSG00000022372,0,5,1,1,0,2,0
ENSMUSG00000022375,0,0,0,0,0,0,0
ENSMUSG00000022376,2,1,2,2,2,1,2
ENSMUSG00000022377,3931,3111,4217,3627,2983,4642,4342
ENSMUSG00000022378,5364,3819,5144,4691,4392,5644,5343
ENSMUSG00000022382,19242,22034,20613,17919,28325,19856,18531
ENSMUSG00000022383,26,8,27,11,13,10,20
ENSMUSG00000022385,12736,8605,13277,12492,12011,13238,12477
ENSMUSG00000022386,503,264,508,481,446,485,389
ENSMUSG00000022387,8596,4545,7560,6813,6943,7866,7921
ENSMUSG00000022388,3,1,2,0,1,3,3
ENSMUSG00000022389,2176,1192,1417,1522,1537,2093,2578
ENSMUSG00000022390,9834,4147,6521,7597,4974,8655,7250
ENSMUSG00000022391,16641,12401,19013,17755,17066,19575,14010
ENSMUSG00000022394,5844,4402,6436,5719,6023,7090,5578
ENSMUSG00000022400,4276,3530,4600,4434,4161,5113,4158
ENSMUSG00000022401,1958,1387,1962,1804,1605,1857,1633
ENSMUSG00000022403,20227,12200,17919,16462,18004,19095,17505
ENSMUSG00000022404,2672,1855,2562,2467,2188,2987,2624
ENSMUSG00000022407,5493,3098,4916,4658,5147,4980,4632
ENSMUSG00000022408,724,246,399,356,668,485,533
ENSMUSG00000022412,3652,2338,3749,3586,3750,3407,3057
ENSMUSG00000022414,1598,934,1126,1026,1321,1606,1438
ENSMUSG00000022415,2676,1464,1245,1274,1844,2188,2549
ENSMUSG00000022416,46,6,37,36,55,21,38
ENSMUSG00000022419,2104,1574,1780,2313,1890,2157,2308
ENSMUSG00000022420,1316,752,1063,1022,1339,1248,1077
ENSMUSG00000022421,23582,7066,18117,25163,18466,15898,16232
ENSMUSG00000022422,421,326,552,439,371,450,326
ENSMUSG00000022425,0,0,0,0,0,0,0
ENSMUSG00000022426,2923,2336,2707,2913,3322,3252,2633
ENSMUSG00000022427,3922,3090,4533,3962,4404,5004,3719
ENSMUSG00000022428,829,517,908,823,939,1065,909
ENSMUSG00000022429,65,28,4,6,16,249,13
ENSMUSG00000022431,0,0,0,0,0,1,0
ENSMUSG00000022432,1,4,0,0,0,7,1
ENSMUSG00000022433,12108,9304,10135,9950,10567,10772,10888
ENSMUSG00000022434,2890,1343,2767,2340,3270,3539,2125
ENSMUSG00000022435,6,0,1,0,4,0,2
ENSMUSG00000022436,1302,637,1338,1185,1530,1726,1275
ENSMUSG00000022437,4103,3240,3943,1865,4541,4870,4450
ENSMUSG00000022438,13840,9534,9021,6422,13564,12121,12191
ENSMUSG00000022439,53,16,22,12,47,98,60
ENSMUSG00000022440,2178,1879,3371,1830,2581,4737,2456
ENSMUSG00000022441,0,0,2,1,0,1,1
ENSMUSG00000022442,648,552,765,674,822,876,748
ENSMUSG00000022443,79807,94277,87812,71792,84157,78085,74849
ENSMUSG00000022445,3,0,2,5,0,15,18
ENSMUSG00000022449,112,57,94,76,68,153,167
ENSMUSG00000022450,3151,1810,2513,2226,2770,3243,3117
ENSMUSG00000022451,5377,4127,5927,4628,5004,6500,5414
ENSMUSG00000022452,2125,1725,2226,1991,1926,2496,1896
ENSMUSG00000022453,2863,1516,2001,1565,2674,3443,3160
ENSMUSG00000022454,7,2,7,8,5,2,6
ENSMUSG00000022455,1,0,3,1,0,0,0
ENSMUSG00000022456,1075,98,632,527,448,794,836
ENSMUSG00000022462,20312,23448,20011,18716,17802,18742,15771
ENSMUSG00000022463,26737,18575,22593,20263,21664,31148,24204
ENSMUSG00000022464,82,23,2151,109,20,79,154
ENSMUSG00000022466,4069,2221,3472,3205,3576,3797,3467
ENSMUSG00000022468,1,1,0,0,5,7,3
ENSMUSG00000022469,3568,2367,2802,2903,3374,1917,3324
ENSMUSG00000022471,4040,2743,3711,3698,4052,4617,4226
ENSMUSG00000022472,4841,4038,5544,4773,4835,5783,4961
ENSMUSG00000022474,6034,4155,6168,5614,5660,7953,6605
ENSMUSG00000022475,4851,1900,4543,4673,4456,3746,5046
ENSMUSG00000022476,1470,1050,1538,1556,1628,1705,1390
ENSMUSG00000022477,22945,17287,20209,18803,20857,25597,24135
ENSMUSG00000022479,829,475,1022,768,658,1858,1158
ENSMUSG00000022483,2959,683,1682,1649,1514,1940,2863
ENSMUSG00000022484,494,182,341,360,197,453,452
ENSMUSG00000022485,40,4,29,20,9,34,46
ENSMUSG00000022487,0,1,0,0,0,1,0
ENSMUSG00000022488,9,4,9,5,0,3,0
ENSMUSG00000022489,25,2,16,11,8,33,12
ENSMUSG00000022490,71,17,77,32,54,48,62
ENSMUSG00000022491,0,0,0,0,0,0,0
ENSMUSG00000022494,10,3,18,8,5,12,11
ENSMUSG00000022496,0,0,0,0,0,0,0
ENSMUSG00000022498,2644,2570,3068,2830,2984,3432,2716
ENSMUSG00000022500,15709,16788,13973,12090,12996,15124,14637
ENSMUSG00000022501,1,1,0,0,0,0,0
ENSMUSG00000022503,2320,2780,2829,2611,2643,2721,2296
ENSMUSG00000022504,0,0,1,0,0,1,0
ENSMUSG00000022505,695,410,479,501,540,406,422
ENSMUSG00000022507,3629,3125,3844,3102,3426,3334,3153
ENSMUSG00000022508,208,232,271,150,178,458,449
ENSMUSG00000022510,0,0,1,2,1,0,1
ENSMUSG00000022512,1,0,2,3,1,0,1
ENSMUSG00000022514,329,309,403,299,298,431,388
ENSMUSG00000022515,961,859,886,840,831,917,879
ENSMUSG00000022516,1838,1662,1909,1520,1821,2198,1622
ENSMUSG00000022517,3869,3631,3133,2830,3417,3727,3614
ENSMUSG00000022518,0,0,0,1,0,0,0
ENSMUSG00000022519,506,500,462,430,433,583,566
ENSMUSG00000022521,4012,3322,3903,3532,3619,4075,4117
ENSMUSG00000022523,4,2,0,3,3,0,1
ENSMUSG00000022525,0,3,1,0,0,0,0
ENSMUSG00000022526,2198,860,2178,2272,1832,2550,2537
ENSMUSG00000022528,1978,1798,2055,1743,1991,3555,3443
ENSMUSG00000022529,2174,1641,1910,1769,2004,1672,1766
ENSMUSG00000022533,21102,19467,17896,16458,12364,17035,18972
ENSMUSG00000022534,0,0,0,0,0,1,0
ENSMUSG00000022536,12024,9751,12470,10798,10619,12567,10744
ENSMUSG00000022537,142,91,159,148,96,164,122
ENSMUSG00000022538,4755,3831,5553,4618,4952,5254,4798
ENSMUSG00000022540,1405,925,1252,1009,1467,1771,1343
ENSMUSG00000022542,0,0,0,0,0,1,0
ENSMUSG00000022543,30,40,40,30,38,43,56
ENSMUSG00000022544,1317,1341,953,914,1148,1341,1225
ENSMUSG00000022545,1006,1201,1072,1033,1133,1127,972
ENSMUSG00000022546,190,147,190,142,195,215,189
ENSMUSG00000022548,0,0,0,1,0,0,1
ENSMUSG00000022550,811,356,727,624,924,946,756
ENSMUSG00000022551,8834,6272,9719,8574,8561,10705,8755
ENSMUSG00000022552,2033,1282,1971,1737,1970,2092,1866
ENSMUSG00000022553,1951,1533,2185,2030,2347,2400,1855
ENSMUSG00000022554,1034,564,964,996,990,915,851
ENSMUSG00000022555,1431,829,1559,1454,1671,1939,1318
ENSMUSG00000022556,4219,2172,3944,3418,3589,4201,3760
ENSMUSG00000022557,5720,3728,7616,6874,5845,6138,4196
ENSMUSG00000022558,4808,2680,3145,2787,4899,5547,5087
ENSMUSG00000022559,2160,1143,1689,1816,1744,2146,1942
ENSMUSG00000022560,1262,813,1131,1156,1381,1404,1147
ENSMUSG00000022561,2643,1724,2438,2551,2731,3016,2327
ENSMUSG00000022562,709,289,1032,406,153,1074,273
ENSMUSG00000022564,8504,4599,5672,5137,6605,6744,6587
ENSMUSG00000022565,86514,70048,101071,90861,81781,75092,73519
ENSMUSG00000022568,5913,3745,5126,5246,5227,5305,5459
ENSMUSG00000022570,3352,2213,3513,2903,3315,3384,2720
ENSMUSG00000022571,1655,1205,1701,1533,1751,1974,1418
ENSMUSG00000022574,305,241,210,184,187,479,397
ENSMUSG00000022575,44,11,28,12,15,77,11
ENSMUSG00000022577,4,4,10,9,14,3,4
ENSMUSG00000022579,0,0,0,0,0,0,3
ENSMUSG00000022580,319,116,382,323,426,358,264
ENSMUSG00000022582,43,18,23,29,100,5,10
ENSMUSG00000022583,35,3,30,30,4,46,66
ENSMUSG00000022584,2,0,0,0,0,0,0
ENSMUSG00000022586,28,11,33,21,14,20,28
ENSMUSG00000022587,4959,5166,5551,4367,4234,6411,4048
ENSMUSG00000022589,0,0,0,0,0,0,0
ENSMUSG00000022591,0,0,0,0,0,0,0
ENSMUSG00000022594,139,82,141,95,145,147,152
ENSMUSG00000022595,0,0,0,0,0,0,0
ENSMUSG00000022596,0,0,0,0,0,0,0
ENSMUSG00000022598,39,191,17,14,45,56,133
ENSMUSG00000022601,2847,2999,3031,2761,2229,2489,2239
ENSMUSG00000022602,28,11,26,12,22,24,52
ENSMUSG00000022603,0,0,0,0,1,0,0
ENSMUSG00000022604,1001,1076,1046,1026,763,1151,1012
ENSMUSG00000022607,14579,10317,11233,10441,11909,11826,12228
ENSMUSG00000022610,823,135,538,572,691,1940,755
ENSMUSG00000022613,0,0,0,0,0,0,0
ENSMUSG00000022614,4410,3438,5697,5087,4615,4938,3790
ENSMUSG00000022615,11,1,14,12,8,8,4
ENSMUSG00000022617,102,83,105,114,124,132,103
ENSMUSG00000022619,790,659,1284,1020,1078,990,1025
ENSMUSG00000022620,3193,2632,2340,1943,3102,3372,3803
ENSMUSG00000022621,964,626,977,1018,973,1076,875
ENSMUSG00000022622,2,0,2,1,2,1,9
ENSMUSG00000022623,1347,662,1088,1045,985,1016,1739
ENSMUSG00000022629,1146,743,1624,1316,1004,1492,1192
ENSMUSG00000022634,3336,1903,2988,2926,2238,2610,2504
ENSMUSG00000022635,4438,2661,4218,3903,4118,4670,4210
ENSMUSG00000022636,262,123,296,216,255,314,229
ENSMUSG00000022637,1664,1624,1762,1420,1166,1943,1478
ENSMUSG00000022639,89,187,150,156,116,49,53
ENSMUSG00000022641,3325,5400,4245,3039,2508,3057,3319
ENSMUSG00000022650,0,0,0,0,0,0,0
ENSMUSG00000022651,0,0,0,0,0,0,0
ENSMUSG00000022652,9,3,19,9,8,29,16
ENSMUSG00000022656,1420,1516,1646,1519,1189,1533,1664
ENSMUSG00000022657,15,0,0,0,0,0,0
ENSMUSG00000022658,6,3,5,5,5,8,16
ENSMUSG00000022659,0,0,0,0,0,0,0
ENSMUSG00000022661,1,0,2,2,0,0,1
ENSMUSG00000022663,1569,1610,1566,1224,1119,1692,1717
ENSMUSG00000022664,1003,971,895,750,691,1018,1019
ENSMUSG00000022665,13,5,8,11,2,22,9
ENSMUSG00000022667,0,0,0,0,0,0,0
ENSMUSG00000022668,427,385,467,406,462,558,455
ENSMUSG00000022671,620,562,711,616,689,901,677
ENSMUSG00000022672,2711,1869,1968,1833,2105,2625,2844
ENSMUSG00000022673,17607,11494,16599,17057,16325,17939,15039
ENSMUSG00000022674,803,751,792,730,732,1020,840
ENSMUSG00000022676,5,4,13,20,9,16,7
ENSMUSG00000022677,1407,1710,1393,1320,1336,1668,1513
ENSMUSG00000022678,9173,7473,8085,7846,8507,8369,9054
ENSMUSG00000022679,210,182,83,103,150,162,196
ENSMUSG00000022680,6601,8198,6415,5765,6503,7065,6454
ENSMUSG00000022681,2208,1946,1936,1772,2024,2354,2051
ENSMUSG00000022682,7347,7275,8518,7648,7437,8795,7819
ENSMUSG00000022683,0,0,1,0,1,3,5
ENSMUSG00000022684,1637,1606,1770,1499,1473,1726,1520
ENSMUSG00000022685,4103,3375,2916,2653,3586,3864,3956
ENSMUSG00000022686,84,295,141,103,282,94,92
ENSMUSG00000022687,257,142,276,232,246,318,236
ENSMUSG00000022696,0,0,2,2,0,1,0
ENSMUSG00000022698,13771,12843,13852,12950,12768,13896,12251
ENSMUSG00000022701,1055,875,570,579,773,731,864
ENSMUSG00000022702,1254,1106,1438,1421,1406,1666,1296
ENSMUSG00000022704,2496,1978,2768,2408,2104,2482,2262
ENSMUSG00000022705,0,1,4,0,0,0,2
ENSMUSG00000022706,2192,2357,2492,2125,2033,2757,2057
ENSMUSG00000022707,359,288,372,323,294,273,216
ENSMUSG00000022708,270,249,87,102,119,184,347
ENSMUSG00000022710,24657,20591,25827,23806,21946,25743,23535
ENSMUSG00000022711,1399,1207,3709,1644,1362,1674,1478
ENSMUSG00000022715,589,85,400,274,275,676,359
ENSMUSG00000022718,3408,4627,5281,4562,3822,5873,3426
ENSMUSG00000022721,2936,2962,2916,2677,2610,2872,2250
ENSMUSG00000022722,369,325,307,280,224,253,265
ENSMUSG00000022723,1104,1058,1136,1175,932,971,900
ENSMUSG00000022724,2227,2342,2139,1972,2225,2278,2100
ENSMUSG00000022738,12,1,6,13,10,9,2
ENSMUSG00000022742,2325,1446,1653,1477,1367,1952,1898
ENSMUSG00000022744,1986,1987,1957,1638,1637,2223,1916
ENSMUSG00000022747,42,7,47,25,25,38,29
ENSMUSG00000022748,1172,1434,1370,1299,1182,1252,1093
ENSMUSG00000022749,1410,1605,1287,1243,1202,1433,1319
ENSMUSG00000022750,20910,6256,19151,17647,17599,20629,16916
ENSMUSG00000022751,1574,1163,1609,1353,1596,1627,1320
ENSMUSG00000022752,20099,15067,19029,18322,16917,19223,18544
ENSMUSG00000022753,0,0,0,4,0,14,11
ENSMUSG00000022754,2,0,3,2,0,2,0
ENSMUSG00000022755,0,0,0,0,0,0,0
ENSMUSG00000022756,44,6,15,15,14,78,39
ENSMUSG00000022757,3694,4533,3740,3075,3327,3862,3598
ENSMUSG00000022758,0,0,0,0,2,0,0
ENSMUSG00000022759,2,3,1,0,0,1,2
ENSMUSG00000022760,904,815,870,797,857,992,864
ENSMUSG00000022761,3191,3892,3271,2749,2795,3169,2725
ENSMUSG00000022762,0,0,0,1,0,0,1
ENSMUSG00000022763,358,69,129,141,261,343,314
ENSMUSG00000022765,1203,1656,1375,1227,1032,1517,1257
ENSMUSG00000022766,0,0,4,0,0,8,2
ENSMUSG00000022768,75,79,167,126,96,132,79
ENSMUSG00000022769,1237,1179,1480,1283,1624,1692,986
ENSMUSG00000022770,7737,7897,6678,6154,6447,6438,7172
ENSMUSG00000022771,4651,4397,4948,4334,4747,5203,4239
ENSMUSG00000022772,4600,3954,4431,4254,4034,4781,4892
ENSMUSG00000022773,25,23,20,24,22,36,41
ENSMUSG00000022774,3723,4016,3812,3452,3026,4257,3155
ENSMUSG00000022779,7210,6853,5071,4894,6021,6553,7698
ENSMUSG00000022780,19,8,4,0,0,18,17
ENSMUSG00000022781,12042,13736,11010,10652,10593,11242,11599
ENSMUSG00000022783,0,0,0,0,0,0,0
ENSMUSG00000022787,616,703,590,568,651,644,623
ENSMUSG00000022788,1240,1114,994,958,472,1082,1293
ENSMUSG00000022789,13157,12436,11601,11001,10170,11476,11744
ENSMUSG00000022790,56,21,83,48,35,56,14
ENSMUSG00000022791,4097,5313,3721,3135,4149,3955,3386
ENSMUSG00000022792,1511,1302,1644,1499,1502,1704,1542
ENSMUSG00000022793,546,549,453,461,505,568,671
ENSMUSG00000022797,14977,12879,19801,17517,15787,13375,11194
ENSMUSG00000022798,0,0,0,0,0,0,0
ENSMUSG00000022799,4011,5293,4072,4616,3213,4769,4007
ENSMUSG00000022800,8576,7182,8486,7437,6679,9623,7955
ENSMUSG00000022801,3916,3942,3659,3165,2890,3835,3666
ENSMUSG00000022802,449,464,498,461,433,440,422
ENSMUSG00000022803,5,8,2,2,8,4,2
